"Front";"Back";"Extra"
"Standard Derivatives – Q24: What is a key concept related to Standard Derivatives?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Limits (Algebraic & Graphical) – Q49: What is a key concept related to Limits (Algebraic & Graphical)?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Limits (Algebraic & Graphical) – Q46: What is a key concept related to Limits (Algebraic & Graphical)?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Chain Rule – Q37: What is a key concept related to Chain Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Chain Rule – Q40: What is a key concept related to Chain Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Product Rule – Q29: What is a key concept related to Product Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Product Rule – Q27: What is a key concept related to Product Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Quotient Rule – Q33: What is a key concept related to Quotient Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Quotient Rule – Q32: What is a key concept related to Quotient Rule?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
"Standard Derivatives – Q23: What is a key concept related to Standard Derivatives?<br><ul><li>a) Dummy A</li><li>b) Dummy B</li><li>c) Dummy C</li><li>d) Dummy D</li></ul>";"Correct: c)";"<b>Explanation:</b> Dummy explanation for the correct answer.<br><b>Distractor Rationale:</b><ul><li>a) Not relevant</li><li>b) Incorrect reasoning</li><li>c) Correct</li><li>d) Misleading</li></ul>"
